registration,source_path,source_line,hotkeyToken,hotkey,scopeId,parentScopeId,description,displayPriority,handlerPriority,condition,hide,runWithInputFocused,activateCommandScope,activateCommandScopeId,registrationType,tags,keywords,dynamic_context,raw_excerpt,review_status
registerHotkey,apps/web/src/components/app/GlobalHotkeys.tsx,409,,,setThemeScope.commandScopeId,,'System preference',,,,,true,,,,,,False,"{ scopeId: setThemeScope.commandScopeId, description: 'System preference', keyDownHandler: () => { applySystemTheme(); analytics.track('theme_changed', { themeId: 'system' }); return true; }, runWithInputFocused: true, displayComponent: () => ( <div class=""flex items-center gap-2""> System preference <Show when={systemResolvedTheme()}> {(theme) => <ThemeChips theme={theme()} size=""sm"" />} </Show> </div> ),",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/GlobalHotkeys.tsx,434,,,setThemeScope.commandScopeId,,`${theme.name}`,,,,,true,,,,,,True,"{ scopeId: setThemeScope.commandScopeId, description: `${theme.name}`, keyDownHandler: () => { // Change the theme currently being viewed without switching between // static and system-driven theme modes. setVisibleTheme(theme.id); applyTheme(resolveActiveThemeId()); analytics.track('theme_changed', { themeId: theme.id }); return true; }, runWithInputFocused: true, displayComponent: () => <ThemeDisplay theme={the",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/GlobalHotkeys.tsx,452,,,'global',,'Set default light theme',,,,,true,true,,,,,False,"{ scopeId: 'global', description: 'Set default light theme', keyDownHandler: () => { return true; }, activateCommandScope: true, runWithInputFocused: true, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/GlobalHotkeys.tsx,463,,,setPreferredLightScope.commandScopeId,,`${theme.name}`,,,,,true,,,,,,True,"{ scopeId: setPreferredLightScope.commandScopeId, description: `${theme.name}`, keyDownHandler: () => { setLightModeTheme(theme.id); analytics.track('theme_changed', { themeId: theme.id }); return true; }, runWithInputFocused: true, displayComponent: () => <ThemeDisplay theme={theme} />, onHighlight: () => previewTheme(theme.id), onHighlightEnd: clearThemePreview, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/GlobalHotkeys.tsx,478,,,'global',,'Set default dark theme',,,,,true,true,,,,,False,"{ scopeId: 'global', description: 'Set default dark theme', keyDownHandler: () => { return true; }, activateCommandScope: true, runWithInputFocused: true, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/GlobalHotkeys.tsx,489,,,setPreferredDarkScope.commandScopeId,,`${theme.name}`,,,,,true,,,,,,True,"{ scopeId: setPreferredDarkScope.commandScopeId, description: `${theme.name}`, keyDownHandler: () => { setDarkModeTheme(theme.id); analytics.track('theme_changed', { themeId: theme.id }); return true; }, runWithInputFocused: true, displayComponent: () => <ThemeDisplay theme={theme} />, onHighlight: () => previewTheme(theme.id), onHighlightEnd: clearThemePreview, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/GlobalHotkeys.tsx,504,,,'global',,() => `${themeMode() === 'system' ? 'Turn off a' : 'A'}uto-detect color scheme`,,,,,true,,,,,,True,"{ scopeId: 'global', description: () => `${themeMode() === 'system' ? 'Turn off a' : 'A'}uto-detect color scheme`, keyDownHandler: () => { // Toggle system (auto-detect) on/off; turning it off pins the theme to the // OS's current scheme so the appearance doesn't visibly change. setThemeMode((prev) => (prev === 'system' ? systemMode() : 'system')); return true; }, runWithInputFocused: true, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/GlobalHotkeys.tsx,517,,,'global',,'Upload files',,,,,,,,,,,False,"{ scopeId: 'global', description: 'Upload files', icon: () => <Upload class=""size-4"" />, keyDownHandler: () => { openFilePicker({ multiple: true }, async (files) => { await handleFileUpload(files, false); }); return true; }, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/GlobalHotkeys.tsx,530,,,'global',,'Open hotkey debugger',,,,,true,,,,"['debug', 'dev', 'hotkey']",,False,"{ scopeId: 'global', description: 'Open hotkey debugger', tags: ['debug', 'dev', 'hotkey'], keyDownHandler: () => { openWithSplit( { type: 'component', id: 'hotkey-debugger' }, { referredFrom: 'hotkey', allowDuplicate: true, preferNewSplit: true, } ); return true; }, runWithInputFocused: true, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/GlobalHotkeys.tsx,549,,,'global',,'Upload folders',,,,,,,,,,,False,"{ scopeId: 'global', description: 'Upload folders', icon: () => <Upload class=""size-4"" />, keyDownHandler: () => { openFolderPicker({ multiple: true }, async (files) => { await handleFolderSelect(files, async (entries) => { await handleFileUpload(entries, false); }); }); return true; }, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/GlobalHotkeys.tsx,563,TOKENS.global.undo,'cmd+z','global',,'Undo',,,() => undoCtx.canUndo(),,,,,,,,False,"{ hotkeyToken: TOKENS.global.undo, hotkey: 'cmd+z', scopeId: 'global', description: 'Undo', keyDownHandler: (e) => { if (!undoCtx.canUndo()) return false; e?.preventDefault(); undoCtx.undo({ onError: () => toast.failure('Failed to undo') }); return true; }, condition: () => undoCtx.canUndo(), }",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/GlobalHotkeys.tsx,577,TOKENS.global.redo,'shift+cmd+z','global',,'Redo',,,() => undoCtx.canRedo(),,,,,,,,False,"{ hotkeyToken: TOKENS.global.redo, hotkey: 'shift+cmd+z', scopeId: 'global', description: 'Redo', keyDownHandler: (e) => { if (!undoCtx.canRedo()) return false; e?.preventDefault(); undoCtx.redo({ onError: () => toast.failure('Failed to redo') }); return true; }, condition: () => undoCtx.canRedo(), }",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/app-sidebar/sidebar.tsx,354,TOKENS.global.toggleSidebar,'cmd+.','global',,'Toggle sidebar',,,,,true,,,,,,False,"{ hotkey: 'cmd+.', scopeId: 'global', hotkeyToken: TOKENS.global.toggleSidebar, description: 'Toggle sidebar', runWithInputFocused: true, keyDownHandler: (e) => { e?.preventDefault(); const show = isSlim(); onOpenChange(show); return true; }, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/app-sidebar/sidebar.tsx,395,TOKENS.global.inviteTeam,,'global',,'Send Invites',,,,,,,,,,,False,"{ scopeId: 'global', hotkeyToken: TOKENS.global.inviteTeam, description: 'Send Invites', keyDownHandler: (e) => { e?.preventDefault(); setInviteModalOpen(true); return true; }, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/app-sidebar/sidebar.tsx,419,TOKENS.sidebar.goToLeader,GO_TO_LEADER_KEY,'global',,'Go to page',,,,true,,,GO_TO_COMMAND_SCOPE,'add',,,False,"{ hotkey: GO_TO_LEADER_KEY, scopeId: 'global', hotkeyToken: TOKENS.sidebar.goToLeader, description: 'Go to page', keyDownHandler: () => { // We debounce the time till the hot keys are visible to allow other commands // like g+g to fire debounceSetHotkeyVisible(); debounceResetHotkeysState(); return true; }, activateCommandScopeId: GO_TO_COMMAND_SCOPE, hide: true, registrationType: 'add', }",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/app-sidebar/sidebar.tsx,515,link.hotkeyToken,link.hotkey,link.standaloneHotkey ? 'global' : GO_TO_COMMAND_SCOPE,,`Go to ${link.label}`,,,,,,,,,,,False,"{ hotkey: link.hotkey, scopeId: link.standaloneHotkey ? 'global' : GO_TO_COMMAND_SCOPE, hotkeyToken: link.hotkeyToken, description: `Go to ${link.label}`, keyDownHandler: openSidebarView, icon: link.icon, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/split-layout/components/PopoverSplitRenderer.tsx,135,,'escape',,,'Close Popover',,,,,,,,,,,False,"{ hotkey: 'escape', scopeId, description: 'Close Popover', keyDownHandler() { props.onClose(); return true; }, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/split-layout/components/PreviewButton.tsx,47,TOKENS.unifiedList.togglePreview,'space',panel.splitHotkeyScope,,'Toggle preview',,,() => !isViewer() && canEngage(),,,,,,,,False,"{ hotkeyToken: TOKENS.unifiedList.togglePreview, scopeId: panel.splitHotkeyScope, description: 'Toggle preview', condition: () => !isViewer() && canEngage(), keyDownHandler: () => { togglePreview(); return true; }, hotkey: 'space', }",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/split-layout/components/SplitDrawer.tsx,19,TOKENS.drawer.close,'escape',splitPanel.splitHotkeyScope,,'Close References Drawer',,,drawerControl.isOpen,,,,,,,,False,"{ hotkeyToken: TOKENS.drawer.close, hotkey: 'escape', condition: drawerControl.isOpen, scopeId: splitPanel.splitHotkeyScope, description: 'Close References Drawer', keyDownHandler: (e) => { e?.preventDefault(); drawerControl.close(); return true; }, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/split-layout/registerSplitHotkeys.ts,37,TOKENS.split.close,"['cmd+escape', 'opt+escape']",splitHotkeyScope,,() => (isNotUnifiedList() ? 'Go home' : 'Close split'),,,() => !isPreviewSplit() && (isNotUnifiedList() || getSplitCount() > 1),,true,,,,,,False,"{ scopeId: splitHotkeyScope, hotkey: ['cmd+escape', 'opt+escape'], condition: () => !isPreviewSplit() && (isNotUnifiedList() || getSplitCount() > 1), description: () => (isNotUnifiedList() ? 'Go home' : 'Close split'), keyDownHandler: () => { if (isNotUnifiedList()) { goHome(); } else if (getSplitCount() > 1) { closeSplit(); } return true; }, hotkeyToken: TOKENS.split.close, runWithInputFocused: true, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/split-layout/registerSplitHotkeys.ts,56,TOKENS.window.spotlight.toggle,'shift+escape',splitHotkeyScope,,() => `Maximize ${splitName()}`,,,() => { const splitManager = globalSplitManager(); if (!splitManager) return false; return canSpotlight(splitManager); },,true,,,,,,False,"{ scopeId: splitHotkeyScope, hotkey: 'shift+escape', hotkeyToken: TOKENS.window.spotlight.toggle, description: () => `Maximize ${splitName()}`, condition: () => { const splitManager = globalSplitManager(); if (!splitManager) return false; return canSpotlight(splitManager); }, keyDownHandler: () => { toggleSpotlight(); return true; }, runWithInputFocused: true, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/split-layout/registerSplitHotkeys.ts,74,TOKENS.split.go.back,'opt+[',splitHotkeyScope,,`Go back`,,,() => canGoBack(),,true,,,,,,False,"{ scopeId: splitHotkeyScope, hotkeyToken: TOKENS.split.go.back, hotkey: 'opt+[', condition: () => canGoBack(), description: `Go back`, keyDownHandler: () => { goBack(); return true; }, runWithInputFocused: true, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/split-layout/registerSplitHotkeys.ts,87,TOKENS.split.go.forward,'opt+]',splitHotkeyScope,,`Go forward`,,,() => canGoForward(),,true,,,,,,False,"{ scopeId: splitHotkeyScope, hotkeyToken: TOKENS.split.go.forward, hotkey: 'opt+]', condition: () => canGoForward(), description: `Go forward`, keyDownHandler: () => { goForward(); return true; }, runWithInputFocused: true, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/split-layout/registerSplitHotkeys.ts,100,TOKENS.window.focusSplitRight,"['shift+l', 'shift+arrowright']",splitHotkeyScope,,'Focus split right',,,() => getSplitCount() > 1,,,,,'add',,,False,"{ hotkeyToken: TOKENS.window.focusSplitRight, hotkey: ['shift+l', 'shift+arrowright'], scopeId: splitHotkeyScope, description: 'Focus split right', condition: () => getSplitCount() > 1, keyDownHandler: () => { focusAdjacentSplit('right'); return true; }, registrationType: 'add', }",mechanical-needs-manual-review
registerHotkey,apps/web/src/components/app/split-layout/registerSplitHotkeys.ts,113,TOKENS.window.focusSplitLeft,"['shift+h', 'shift+arrowleft']",splitHotkeyScope,,'Focus split left',,,() => getSplitCount() > 1,,,,,'add',,,False,"{ hotkeyToken: TOKENS.window.focusSplitLeft, hotkey: ['shift+h', 'shift+arrowleft'], scopeId: splitHotkeyScope, description: 'Focus split left', condition: () => getSplitCount() > 1, keyDownHandler: () => { focusAdjacentSplit('left'); return true; }, registrationType: 'add', }",mechanical-needs-manual-review
registerHotkey,apps/web/src/features/block-canvas/component/CanvasController.tsx,324,TOKENS.canvas.delete,"['delete', 'backspace']",scopeId(),,'Delete selection',,,,,,,,,,,False,"{ hotkey: ['delete', 'backspace'], scopeId: scopeId(), description: 'Delete selection', keyDownHandler: deleteSelection, hotkeyToken: TOKENS.canvas.delete, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/features/block-canvas/component/CanvasController.tsx,332,TOKENS.canvas.bringToFront,']',scopeId(),,'Bring to front',,,,,,,,,,,False,"{ hotkey: ']', scopeId: scopeId(), description: 'Bring to front', keyDownHandler: () => { if (!selection.active()) return false; reorder.reorder(ReorderOperations.BringToFront, true); return true; }, hotkeyToken: TOKENS.canvas.bringToFront, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/features/block-canvas/component/CanvasController.tsx,344,TOKENS.canvas.bringForward,'opt+]',scopeId(),,'Bring forward',,,,,,,,,,,False,"{ hotkey: 'opt+]', scopeId: scopeId(), description: 'Bring forward', keyDownHandler: () => { if (!selection.active()) return false; reorder.reorder(ReorderOperations.Forward, true); return true; }, hotkeyToken: TOKENS.canvas.bringForward, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/features/block-canvas/component/CanvasController.tsx,356,TOKENS.canvas.sendToBack,'[',scopeId(),,'Send to back',,,,,,,,,,,False,"{ hotkey: '[', scopeId: scopeId(), description: 'Send to back', keyDownHandler: () => { if (!selection.active()) return false; reorder.reorder(ReorderOperations.SendToBack, true); return true; }, hotkeyToken: TOKENS.canvas.sendToBack, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/features/block-canvas/component/CanvasController.tsx,368,TOKENS.canvas.sendBackward,'opt+[',scopeId(),,'Send backward',,,,,,,,,,,False,"{ hotkey: 'opt+[', scopeId: scopeId(), description: 'Send backward', keyDownHandler: () => { if (!selection.active()) return false; reorder.reorder(ReorderOperations.Backward, true); return true; }, hotkeyToken: TOKENS.canvas.sendBackward, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/features/block-canvas/component/CanvasController.tsx,380,TOKENS.canvas.selectAll,'cmd+a',scopeId(),,'Select all',,,,,,,,,,,False,"{ hotkey: 'cmd+a', scopeId: scopeId(), description: 'Select all', keyDownHandler: () => { toolManager.setSelectedTool(Tools.Select); selection.selectAll(); return true; }, hotkeyToken: TOKENS.canvas.selectAll, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/features/block-canvas/component/CanvasController.tsx,392,TOKENS.canvas.copy,'cmd+c',scopeId(),,'Copy selection',,,,,,,,,,,False,"{ hotkey: 'cmd+c', scopeId: scopeId(), description: 'Copy selection', keyDownHandler: () => { if (!selection.active()) return false; clipboard.copySelection(false); return true; }, hotkeyToken: TOKENS.canvas.copy, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/features/block-canvas/component/CanvasController.tsx,404,TOKENS.canvas.cut,'cmd+x',scopeId(),,'Cut selection',,,,,,,,,,,False,"{ hotkey: 'cmd+x', scopeId: scopeId(), description: 'Cut selection', keyDownHandler: () => { if (!selection.active()) return false; history.open(); clipboard.copySelection(true); selection.deselectAll(); history.close(); nodes.save(); edges.save(); return true; }, hotkeyToken: TOKENS.canvas.cut, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/features/block-canvas/component/CanvasController.tsx,421,TOKENS.canvas.paste,'cmd+v',scopeId(),,'Paste',,,,,,,,,,,False,"{ hotkey: 'cmd+v', scopeId: scopeId(), description: 'Paste', keyDownHandler: () => { return false; }, hotkeyToken: TOKENS.canvas.paste, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/features/block-canvas/component/CanvasController.tsx,431,TOKENS.canvas.zoomIn,'cmd+=',scopeId(),,'Zoom in',,,,,,,,,,,False,"{ hotkey: 'cmd+=', scopeId: scopeId(), description: 'Zoom in', keyDownHandler: () => { renderState.zoom(0.1, undefined, true); return true; }, hotkeyToken: TOKENS.canvas.zoomIn, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/features/block-canvas/component/CanvasController.tsx,442,TOKENS.canvas.zoomOut,'cmd+-',scopeId(),,'Zoom out',,,,,,,,,,,False,"{ hotkey: 'cmd+-', scopeId: scopeId(), description: 'Zoom out', keyDownHandler: () => { renderState.zoom(-0.1, undefined, true); return true; }, hotkeyToken: TOKENS.canvas.zoomOut, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/features/block-canvas/component/CanvasController.tsx,453,TOKENS.canvas.undo,'cmd+z',scopeId(),,'Undo',,,,,,,,,,,False,"{ hotkey: 'cmd+z', scopeId: scopeId(), description: 'Undo', keyDownHandler: () => { history.undo(); return true; }, hotkeyToken: TOKENS.canvas.undo, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/features/block-canvas/component/CanvasController.tsx,464,TOKENS.canvas.redo,"['shift+cmd+z', 'cmd+y']",scopeId(),,'Redo',,,,,,,,,,,False,"{ hotkey: ['shift+cmd+z', 'cmd+y'], scopeId: scopeId(), description: 'Redo', keyDownHandler: () => { history.redo(); return true; }, hotkeyToken: TOKENS.canvas.redo, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/features/block-canvas/component/CanvasController.tsx,475,TOKENS.canvas.cancel,'escape',scopeId(),,'Cancel/Deselect',,,,,,,,,,,False,"{ hotkey: 'escape', scopeId: scopeId(), description: 'Cancel/Deselect', keyDownHandler: () => { toolManager.abortAll(); selection.deselectAll(); return true; }, hotkeyToken: TOKENS.canvas.cancel, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/features/block-canvas/component/CanvasController.tsx,487,TOKENS.canvas.selectTool,'v',scopeId(),,'Select tool',,,,,,,,,,,False,"{ hotkey: 'v', scopeId: scopeId(), description: 'Select tool', keyDownHandler: () => { toolManager.setSelectedTool(Tools.Select); return true; }, hotkeyToken: TOKENS.canvas.selectTool, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/features/block-canvas/component/CanvasController.tsx,498,TOKENS.canvas.handTool,'h',scopeId(),,'Hand tool',,,,,,,,,,,False,"{ hotkey: 'h', scopeId: scopeId(), description: 'Hand tool', keyDownHandler: () => { toolManager.setSelectedTool(Tools.Grab); return true; }, hotkeyToken: TOKENS.canvas.handTool, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/features/block-canvas/component/CanvasController.tsx,509,TOKENS.canvas.shapeTool,'r',scopeId(),,'Shape tool',,,,,,,,,,,False,"{ hotkey: 'r', scopeId: scopeId(), description: 'Shape tool', keyDownHandler: () => { toolManager.setSelectedTool(Tools.Shape); return true; }, hotkeyToken: TOKENS.canvas.shapeTool, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/features/block-canvas/component/CanvasController.tsx,520,TOKENS.canvas.pencilTool,'p',scopeId(),,'Pencil tool',,,,,,,,,,,False,"{ hotkey: 'p', scopeId: scopeId(), description: 'Pencil tool', keyDownHandler: () => { toolManager.setSelectedTool(Tools.Pencil); return true; }, hotkeyToken: TOKENS.canvas.pencilTool, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/features/block-canvas/component/CanvasController.tsx,531,TOKENS.canvas.lineTool,'x',scopeId(),,'Line tool',,,,,,,,,,,False,"{ hotkey: 'x', scopeId: scopeId(), description: 'Line tool', keyDownHandler: () => { if (toolManager.selectedTool() === Tools.Line) { setConnectorTypeMenuTrigger((prev) => !prev); } toolManager.setSelectedTool(Tools.Line); return true; }, hotkeyToken: TOKENS.canvas.lineTool, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/features/block-canvas/component/CanvasController.tsx,545,TOKENS.canvas.textTool,'t',scopeId(),,'Text tool',,,,,,,,,,,False,"{ hotkey: 't', scopeId: scopeId(), description: 'Text tool', keyDownHandler: () => { toolManager.setSelectedTool(Tools.Text); return true; }, hotkeyToken: TOKENS.canvas.textTool, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/features/block-canvas/component/CanvasController.tsx,556,TOKENS.canvas.zoomInTool,'z',scopeId(),,'Zoom in tool',,,,,,,,,,,False,"{ hotkey: 'z', scopeId: scopeId(), description: 'Zoom in tool', keyDownHandler: () => { toolManager.setSelectedTool(Tools.ZoomIn); return true; }, hotkeyToken: TOKENS.canvas.zoomInTool, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/features/block-canvas/component/CanvasController.tsx,567,TOKENS.canvas.zoomOutTool,'opt+z',scopeId(),,'Zoom out tool',,,,,,,,,,,False,"{ hotkey: 'opt+z', scopeId: scopeId(), description: 'Zoom out tool', keyDownHandler: () => { toolManager.setSelectedTool(Tools.ZoomOut); return true; }, hotkeyToken: TOKENS.canvas.zoomOutTool, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/features/block-canvas/component/CanvasController.tsx,578,TOKENS.canvas.nudgeUp,'arrowup',scopeId(),,'Nudge up',,,,,,,,,,,False,"{ hotkey: 'arrowup', scopeId: scopeId(), description: 'Nudge up', keyDownHandler: () => { nudge('up', false, true); return true; }, hotkeyToken: TOKENS.canvas.nudgeUp, }",mechanical-needs-manual-review
registerHotkey,apps/web/src/features/block-canvas/component/CanvasController.tsx,589,TOKENS.canvas.nudgeUpMore,'shift+arrowup',scopeId(),,'Nudge up more',,,,,,,,,,,False,"{ hotkey: 'shift+arrowup', scopeId: scopeId(), description: 'Nudge up more', keyDownHandler: () => { nudge('up', true, true); return true; }, hotkeyToken: TOKENS.canvas.nudgeUpMore, }",mechanical-needs-manual-review
