command_identity,description,hotkeys,scope,parent_scope,shadowing_priority,conditions,hide_rules,input_focus_behavior,browser_or_native,handler_intent,target_react_command_id,telemetry,accessible_alternative,target_disposition,parity_test,source_path,source_line,source_commit,manual_review_notes
create-menu.canvas,Create canvas,n,command-scope-create-menu,global (leader 'c'),override within create-menu scope,item.condition?.() ?? true,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,create empty canvas document and open it; shift held at press opens in new split (pressedKeys check),create-menu.create-canvas,"hotkey_use (global keypress tracker, debounced for repeats); creation analytics fire in data layer (create.ts/projects.ts) with source=create_menu",Launcher dialog list item (click),preserve,parity: create-menu.canvas,apps/web/src/components/app/GlobalHotkeys.tsx,194,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,"expanded from CREATABLE_BLOCKS loop (12 static items, Launcher.tsx:405)"
create-menu.project,Create folder,f,command-scope-create-menu,global (leader 'c'),override within create-menu scope,item.condition?.() ?? true,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,create project/folder and open it; shift held at press opens in new split (pressedKeys check),create-menu.create-folder,"hotkey_use (global keypress tracker, debounced for repeats); creation analytics fire in data layer (create.ts/projects.ts) with source=create_menu",Launcher dialog list item (click),preserve,parity: create-menu.project,apps/web/src/components/app/GlobalHotkeys.tsx,194,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,"expanded from CREATABLE_BLOCKS loop (12 static items, Launcher.tsx:405)"
create-menu.code,Create code,o,command-scope-create-menu,global (leader 'c'),override within create-menu scope,item.condition?.() ?? true,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,create python hello-world code file and open it; shift held at press opens in new split (pressedKeys check),create-menu.create-code,"hotkey_use (global keypress tracker, debounced for repeats); creation analytics fire in data layer (create.ts/projects.ts) with source=create_menu",Launcher dialog list item (click),preserve,parity: create-menu.code,apps/web/src/components/app/GlobalHotkeys.tsx,194,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,"expanded from CREATABLE_BLOCKS loop (12 static items, Launcher.tsx:405)"
create-menu.close,Close Create,c | escape,command-scope-create-menu,global (leader 'c'),override,createMenuOpen(),,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,close the create menu dialog,create-menu.close,"hotkey_use (global keypress tracker, debounced for repeats)",click outside dialog / dialog close,preserve,parity: create-menu.close,apps/web/src/components/app/GlobalHotkeys.tsx,211,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,
global.command-menu,Open/Close command menu,cmd+k,global,(root),displayPriority=10; override,,hidden from UI while CommandState.isOpen(),runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,toggle command menu; closes automation composer first; description flips open/close,global.toggle-command-menu,"hotkey_use (global keypress tracker, debounced for repeats); command_menu_open{from:global_hotkey}",sidebar account dropdown 'Command menu' item,preserve,parity: global.command-menu,apps/web/src/components/app/GlobalHotkeys.tsx,223,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,handler contains leftover console.log('## CMD K - global'); shadowed inside soup views by soup-scope cmd+k (entity-action variant)
global.open-category-leader,Open category (leader),o,global,(root),override; leader activates COMMAND_MENU_CATEGORY_SCOPE,,,suppressed-when-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,no-op keydown; activates 'o' command scope for category chords,command-menu.category-leader,"hotkey_use (global keypress tracker, debounced for repeats)",command menu category tabs,preserve,parity: global.open-category-leader,apps/web/src/components/app/GlobalHotkeys.tsx,240,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,surfaceNestedCommands=true
command-menu.open-category.all,Open All,l,command-scope-command-menu-category,global (leader 'o'),override,,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,open command menu pre-filtered to the 'All' category with cleared query and reset selection,command-menu.open-all,"hotkey_use (global keypress tracker, debounced for repeats)",command menu category tabs (click),preserve,parity: command-menu.open-category.all,apps/web/src/components/app/GlobalHotkeys.tsx,251,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,expanded from COMMAND_MENU_CATEGORY_HOTKEYS loop (7 static items)
command-menu.open-category.commands,Open Command,m,command-scope-command-menu-category,global (leader 'o'),override,,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,open command menu pre-filtered to the 'Command' category with cleared query and reset selection,command-menu.open-commands,"hotkey_use (global keypress tracker, debounced for repeats)",command menu category tabs (click),preserve,parity: command-menu.open-category.commands,apps/web/src/components/app/GlobalHotkeys.tsx,251,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,expanded from COMMAND_MENU_CATEGORY_HOTKEYS loop (7 static items)
command-menu.open-category.chats,Open Agents,a,command-scope-command-menu-category,global (leader 'o'),override,,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,open command menu pre-filtered to the 'Agents' category with cleared query and reset selection,command-menu.open-chats,"hotkey_use (global keypress tracker, debounced for repeats)",command menu category tabs (click),preserve,parity: command-menu.open-category.chats,apps/web/src/components/app/GlobalHotkeys.tsx,251,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,expanded from COMMAND_MENU_CATEGORY_HOTKEYS loop (7 static items)
command-menu.open-category.documents,Open Files,f,command-scope-command-menu-category,global (leader 'o'),override,,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,open command menu pre-filtered to the 'Files' category with cleared query and reset selection,command-menu.open-documents,"hotkey_use (global keypress tracker, debounced for repeats)",command menu category tabs (click),preserve,parity: command-menu.open-category.documents,apps/web/src/components/app/GlobalHotkeys.tsx,251,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,expanded from COMMAND_MENU_CATEGORY_HOTKEYS loop (7 static items)
command-menu.open-category.tasks,Open Tasks,t,command-scope-command-menu-category,global (leader 'o'),override,,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,open command menu pre-filtered to the 'Tasks' category with cleared query and reset selection,command-menu.open-tasks,"hotkey_use (global keypress tracker, debounced for repeats)",command menu category tabs (click),preserve,parity: command-menu.open-category.tasks,apps/web/src/components/app/GlobalHotkeys.tsx,251,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,expanded from COMMAND_MENU_CATEGORY_HOTKEYS loop (7 static items)
command-menu.open-category.channels,Open Channels,c,command-scope-command-menu-category,global (leader 'o'),override,,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,open command menu pre-filtered to the 'Channels' category with cleared query and reset selection,command-menu.open-channels,"hotkey_use (global keypress tracker, debounced for repeats)",command menu category tabs (click),preserve,parity: command-menu.open-category.channels,apps/web/src/components/app/GlobalHotkeys.tsx,251,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,expanded from COMMAND_MENU_CATEGORY_HOTKEYS loop (7 static items)
command-menu.open-category.dms,Open People,p,command-scope-command-menu-category,global (leader 'o'),override,,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,open command menu pre-filtered to the 'People' category with cleared query and reset selection,command-menu.open-dms,"hotkey_use (global keypress tracker, debounced for repeats)",command menu category tabs (click),preserve,parity: command-menu.open-category.dms,apps/web/src/components/app/GlobalHotkeys.tsx,251,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,expanded from COMMAND_MENU_CATEGORY_HOTKEYS loop (7 static items)
global.new-split.cmd,Create new split,cmd+\,global,(root),override,split manager canAppendSplit(),,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,"open inbox component in a new split (preferNewSplit, allowDuplicate)",global.new-split,"hotkey_use (global keypress tracker, debounced for repeats); split_created{from:global_hotkey}",split '+' UI,preserve,parity: global.new-split.cmd,apps/web/src/components/app/GlobalHotkeys.tsx,283,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,
global.new-split.bare,Create new split,\,global,(root),override,split manager canAppendSplit(),,suppressed-when-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,same as cmd+\ but suppressed while typing (no runWithInputFocused),global.new-split,"hotkey_use (global keypress tracker, debounced for repeats); split_created{from:global_hotkey}",split '+' UI,preserve,parity: global.new-split.bare,apps/web/src/components/app/GlobalHotkeys.tsx,292,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,token TOKENS.global.createNewSplit lives on this variant
global.toggle-settings,Toggle settings,cmd+;,global,(root),override,,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,toggle settings surface,global.toggle-settings,"hotkey_use (global keypress tracker, debounced for repeats)",account dropdown Settings item,preserve,parity: global.toggle-settings,apps/web/src/components/app/GlobalHotkeys.tsx,311,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,
global.account,Account,(none - command menu only),global,(root),override,,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,open settings at the Account tab (switches tab in place when already open),global.open-account-settings,"hotkey_use (global keypress tracker, debounced for repeats)",account dropdown,preserve,parity: global.account,apps/web/src/components/app/GlobalHotkeys.tsx,323,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,unkeyed: command-menu-only command
global.logout,Logout,(none - command menu only),global,(root),override,,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,log the user out,global.logout,"hotkey_use (global keypress tracker, debounced for repeats)",account dropdown Log out,preserve,parity: global.logout,apps/web/src/components/app/GlobalHotkeys.tsx,334,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,unkeyed: command-menu-only command
global.instructions,Open AI instructions,(none - command menu only),global,(root),override,,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,open the instructions.md AI-instructions document,global.open-ai-instructions,"hotkey_use (global keypress tracker, debounced for repeats)",command menu (Cmd+K) lists it,preserve,parity: global.instructions,apps/web/src/components/app/GlobalHotkeys.tsx,346,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,unkeyed: command-menu-only command
global.mcp-setup,MCP setup,(none - command menu only),global,(root),displayPriority=9; override,,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,open the Macro MCP setup modal,global.open-mcp-setup,"hotkey_use (global keypress tracker, debounced for repeats)",command menu (Cmd+K) lists it,adapt,parity: global.mcp-setup,apps/web/src/components/app/GlobalHotkeys.tsx,358,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,unkeyed command-menu-only; tags include 'connect macro' and modal is Macro-branded - brand tripwire per 07-UI-UX rules
global.change-theme,Change theme (sub-menu),(none - command menu only),global,(root),displayPriority=10; activateCommandScope=true (dynamic command scope),,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,opens a nested command scope listing themes,theme.change,"hotkey_use (global keypress tracker, debounced for repeats)",command menu (Cmd+K) lists it,preserve,parity: global.change-theme,apps/web/src/components/app/GlobalHotkeys.tsx,371,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,unkeyed leader; children below
theme.system-preference,System preference,(none - list item in Change theme scope),command-scope-global (change-theme),global,override,,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,follow OS scheme (applySystemTheme); highlight previews the resolved theme,theme.use-system,"hotkey_use (global keypress tracker, debounced for repeats); theme_changed{themeId:system}",settings Appearance tab,preserve,parity: theme.system-preference,apps/web/src/components/app/GlobalHotkeys.tsx,409,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,displayComponent shows theme chips; onHighlight live-preview
theme.set-visible.macro-dark,Macro Dark,(none - list item),command-scope-global (change-theme),global,override,,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,set 'Macro Dark' as the theme for the currently-resolved mode and apply it,theme.set.macro-dark,"hotkey_use (global keypress tracker, debounced for repeats); theme_changed{themeId}",settings Appearance tab,adapt,parity: theme.set-visible.macro-dark,apps/web/src/components/app/GlobalHotkeys.tsx,434,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,expanded from themes() loop: 12 static default themes (features/theme/constants.ts:111) + runtime user themes (see runtime row). 'Macro' theme name is a brand tripwire - rename in rewrite.
theme.set-visible.void,Void,(none - list item),command-scope-global (change-theme),global,override,,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,set 'Void' as the theme for the currently-resolved mode and apply it,theme.set.void,"hotkey_use (global keypress tracker, debounced for repeats); theme_changed{themeId}",settings Appearance tab,preserve,parity: theme.set-visible.void,apps/web/src/components/app/GlobalHotkeys.tsx,434,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,expanded from themes() loop: 12 static default themes (features/theme/constants.ts:111) + runtime user themes (see runtime row).
theme.set-visible.ember,Ember,(none - list item),command-scope-global (change-theme),global,override,,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,set 'Ember' as the theme for the currently-resolved mode and apply it,theme.set.ember,"hotkey_use (global keypress tracker, debounced for repeats); theme_changed{themeId}",settings Appearance tab,preserve,parity: theme.set-visible.ember,apps/web/src/components/app/GlobalHotkeys.tsx,434,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,expanded from themes() loop: 12 static default themes (features/theme/constants.ts:111) + runtime user themes (see runtime row).
theme.set-visible.spirit,Spirit,(none - list item),command-scope-global (change-theme),global,override,,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,set 'Spirit' as the theme for the currently-resolved mode and apply it,theme.set.spirit,"hotkey_use (global keypress tracker, debounced for repeats); theme_changed{themeId}",settings Appearance tab,preserve,parity: theme.set-visible.spirit,apps/web/src/components/app/GlobalHotkeys.tsx,434,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,expanded from themes() loop: 12 static default themes (features/theme/constants.ts:111) + runtime user themes (see runtime row).
theme.set-visible.moon,Moon,(none - list item),command-scope-global (change-theme),global,override,,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,set 'Moon' as the theme for the currently-resolved mode and apply it,theme.set.moon,"hotkey_use (global keypress tracker, debounced for repeats); theme_changed{themeId}",settings Appearance tab,preserve,parity: theme.set-visible.moon,apps/web/src/components/app/GlobalHotkeys.tsx,434,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,expanded from themes() loop: 12 static default themes (features/theme/constants.ts:111) + runtime user themes (see runtime row).
theme.set-visible.rain,Rain,(none - list item),command-scope-global (change-theme),global,override,,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,set 'Rain' as the theme for the currently-resolved mode and apply it,theme.set.rain,"hotkey_use (global keypress tracker, debounced for repeats); theme_changed{themeId}",settings Appearance tab,preserve,parity: theme.set-visible.rain,apps/web/src/components/app/GlobalHotkeys.tsx,434,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,expanded from themes() loop: 12 static default themes (features/theme/constants.ts:111) + runtime user themes (see runtime row).
theme.set-visible.macro-light,Macro Light,(none - list item),command-scope-global (change-theme),global,override,,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,set 'Macro Light' as the theme for the currently-resolved mode and apply it,theme.set.macro-light,"hotkey_use (global keypress tracker, debounced for repeats); theme_changed{themeId}",settings Appearance tab,adapt,parity: theme.set-visible.macro-light,apps/web/src/components/app/GlobalHotkeys.tsx,434,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,expanded from themes() loop: 12 static default themes (features/theme/constants.ts:111) + runtime user themes (see runtime row). 'Macro' theme name is a brand tripwire - rename in rewrite.
theme.set-visible.satsuma,Satsuma,(none - list item),command-scope-global (change-theme),global,override,,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,set 'Satsuma' as the theme for the currently-resolved mode and apply it,theme.set.satsuma,"hotkey_use (global keypress tracker, debounced for repeats); theme_changed{themeId}",settings Appearance tab,preserve,parity: theme.set-visible.satsuma,apps/web/src/components/app/GlobalHotkeys.tsx,434,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,expanded from themes() loop: 12 static default themes (features/theme/constants.ts:111) + runtime user themes (see runtime row).
theme.set-visible.lapis,Lapis,(none - list item),command-scope-global (change-theme),global,override,,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,set 'Lapis' as the theme for the currently-resolved mode and apply it,theme.set.lapis,"hotkey_use (global keypress tracker, debounced for repeats); theme_changed{themeId}",settings Appearance tab,preserve,parity: theme.set-visible.lapis,apps/web/src/components/app/GlobalHotkeys.tsx,434,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,expanded from themes() loop: 12 static default themes (features/theme/constants.ts:111) + runtime user themes (see runtime row).
theme.set-visible.flora,Flora,(none - list item),command-scope-global (change-theme),global,override,,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,set 'Flora' as the theme for the currently-resolved mode and apply it,theme.set.flora,"hotkey_use (global keypress tracker, debounced for repeats); theme_changed{themeId}",settings Appearance tab,preserve,parity: theme.set-visible.flora,apps/web/src/components/app/GlobalHotkeys.tsx,434,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,expanded from themes() loop: 12 static default themes (features/theme/constants.ts:111) + runtime user themes (see runtime row).
theme.set-visible.paper,Paper,(none - list item),command-scope-global (change-theme),global,override,,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,set 'Paper' as the theme for the currently-resolved mode and apply it,theme.set.paper,"hotkey_use (global keypress tracker, debounced for repeats); theme_changed{themeId}",settings Appearance tab,preserve,parity: theme.set-visible.paper,apps/web/src/components/app/GlobalHotkeys.tsx,434,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,expanded from themes() loop: 12 static default themes (features/theme/constants.ts:111) + runtime user themes (see runtime row).
theme.set-visible.decepticon,Decepticon,(none - list item),command-scope-global (change-theme),global,override,,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,set 'Decepticon' as the theme for the currently-resolved mode and apply it,theme.set.decepticon,"hotkey_use (global keypress tracker, debounced for repeats); theme_changed{themeId}",settings Appearance tab,preserve,parity: theme.set-visible.decepticon,apps/web/src/components/app/GlobalHotkeys.tsx,434,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,expanded from themes() loop: 12 static default themes (features/theme/constants.ts:111) + runtime user themes (see runtime row).
theme.set-visible.<user-theme>,(user-defined theme name),(none),command-scope-global (change-theme),global,override,,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,same as default-theme rows for each user-created theme,theme.set.<dynamic>,"hotkey_use (global keypress tracker, debounced for repeats); theme_changed{themeId}",command menu (Cmd+K) lists it,preserve,parity: theme.set-visible.<user-theme>,apps/web/src/components/app/GlobalHotkeys.tsx,434,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,RUNTIME-GENERATED: themes() = DEFAULT_THEMES + userThemes() (localStorage 'macro-user-themes'); user-theme entries cannot be statically enumerated. Loop is also non-reactive: themes added after mount get no command until remount.
global.set-default-light-theme,Set default light theme (sub-menu),(none - command menu only),global,(root),activateCommandScope=true,,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,opens nested scope listing themes for the light-mode preference,theme.set-default-light,"hotkey_use (global keypress tracker, debounced for repeats)",command menu (Cmd+K) lists it,preserve,parity: global.set-default-light-theme,apps/web/src/components/app/GlobalHotkeys.tsx,452,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,
theme.default-light.macro-dark,Macro Dark,(none - list item),command-scope-global (set-default-light),global,override,,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,set 'Macro Dark' as preferred light-mode theme,theme.default-light.macro-dark,"hotkey_use (global keypress tracker, debounced for repeats); theme_changed{themeId}",settings Appearance tab,adapt,parity: theme.default-light.macro-dark,apps/web/src/components/app/GlobalHotkeys.tsx,463,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,expanded from themes() loop: 12 static default themes (features/theme/constants.ts:111) + runtime user themes (see runtime row). 'Macro' theme name is a brand tripwire - rename in rewrite.
theme.default-light.void,Void,(none - list item),command-scope-global (set-default-light),global,override,,,runs-with-input-focused,browser; cmd maps to ctrl on non-mac; disabled on touch devices,set 'Void' as preferred light-mode theme,theme.default-light.void,"hotkey_use (global keypress tracker, debounced for repeats); theme_changed{themeId}",settings Appearance tab,preserve,parity: theme.default-light.void,apps/web/src/components/app/GlobalHotkeys.tsx,463,9f7a26bccb85e6f806a6e0c8d6c8e53f3a3541bf,expanded from themes() loop: 12 static default themes (features/theme/constants.ts:111) + runtime user themes (see runtime row).
