interface_or_capability,method,source_repo,source_pin,source_path,source_line,caller_surface,input_output_semantics,state_owner,authorization_boundary,reads_side_effects,subscriptions_callbacks,ordering_idempotency,target_disposition,compatibility_adapter,contract_or_parity_test,migration_dependency,review_status,notes
ConnectedAccountsSubscriber,remove,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,119,server->client push; consumed by ResourcePicker/GatekeeperModal/ConnectionChips/gatekeepers route,(id) -> void; account disconnected,client (callback target implemented by frontend),stub passed by client to subscribeConnectedAccounts,client-side state removal,callback (server->client),in-order delivery,preserve,none (kernel-native),parity:subscription-replay,none,manually-reviewed,
ConnectedAccountsSubscriber,ready,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,122,server->client push; consumed by ResourcePicker/GatekeeperModal/ConnectionChips/gatekeepers route,() -> void; fired after add() for all currently-known accounts (initial snapshot complete),client (callback target implemented by frontend),stub passed by client to subscribeConnectedAccounts,client-side loading-state flip,callback (server->client),exactly once after initial replay,preserve,none (kernel-native),parity:subscription-replay,none,manually-reviewed,
ObserverConfigCallback,configure,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,251,server->client during openGadget; ObserverConfigModal.tsx implements,(needs: ObserverBindingNeed[]) -> Promise<ObserverAccountChoice[]>; user picks own connected account per gatekeeper binding; reject = server denies the open; needs[].failure set on re-prompt after verification failure,client (callback target implemented by frontend),stub passed by client to openGadget; server invokes at most twice per open,blocks openGadget until resolved,callback (server->client) during openGadget,"may be called a 2nd time within one open (repair loop, server-bounded)",preserve,none (kernel-native),contract:capability-lifecycle,none,manually-reviewed,Only invoked for non-owner opens needing account choices; common-case open stays single round trip.
AuthenticatedApi,whoami,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,291,workshop-frontend app shell + settings/profile routes (grep-verified >=1 FE site),() -> AiChatAuthorInfo for logged-in user,User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),read-only,none,idempotent read,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AuthenticatedApi,setOwnDisplayName,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,294,workshop-frontend app shell + settings/profile routes (grep-verified >=1 FE site),(name) -> void; display name seen in chats,User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),writes user profile,none,idempotent write (last-wins),preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AuthenticatedApi,changePassword,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,299,workshop-frontend app shell + settings/profile routes (grep-verified >=1 FE site),"(oldHash, newHash) -> void; same client-side hash scheme as login()",User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),writes credential,none,not idempotent (oldHash must match current),preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AuthenticatedApi,hasPasswordLogin,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,303,workshop-frontend app shell + settings/profile routes (grep-verified >=1 FE site),() -> boolean; false for OAuth-created accounts (hide change-password UI),User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),read-only,none,idempotent read,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AuthenticatedApi,listModels,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,309,workshop-frontend app shell + settings/profile routes (grep-verified >=1 FE site),() -> AiChatAuthorInfo[]; user's configured AI models (may differ from a gadget Overseer's list when gadget owned by someone else),User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),read-only,none,idempotent read,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AuthenticatedApi,addModel,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,313,workshop-frontend app shell + settings/profile routes (grep-verified >=1 FE site),"(profile, AiModelConfig incl. secret apiToken) -> void; id must be unique among user's models",User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),writes model config (stores provider API token),none,throws on duplicate id,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,Carries provider API secrets over RPC - keep off logs/telemetry.
AuthenticatedApi,deleteModel,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,316,workshop-frontend app shell + settings/profile routes (grep-verified >=1 FE site),(id) -> void,User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),deletes model config,none,unspecified for missing id - pin in contract test,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AuthenticatedApi,setQuickModel,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,320,workshop-frontend app shell + settings/profile routes (grep-verified >=1 FE site),(id|null) -> void; model for quick tasks (chat titles); null disables,User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),writes setting,none,idempotent write,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AuthenticatedApi,getQuickModel,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,323,workshop-frontend app shell + settings/profile routes (grep-verified >=1 FE site),() -> null | string,User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),read-only,none,idempotent read,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AuthenticatedApi,getAiConfig,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,327,workshop-frontend app shell + settings/profile routes (grep-verified >=1 FE site),"() -> AiGatewayInfo ({enabled:true, enabledProviders} | {enabled:false}); adjusts model-management UI",User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),read-only,none,idempotent read,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AuthenticatedApi,getUiFeatureFlags,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,330,workshop-frontend app shell + settings/profile routes (grep-verified >=1 FE site),() -> UiFeatureFlags (type from feature-flags.js),User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),read-only,none,idempotent read,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AuthenticatedApi,getPreferredModel,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,334,no frontend caller found (grep fe=0); setPreferredModel is called - read side likely backend/onboarding,() -> string | null; onboarding-chosen preferred model (null = none/'No agent'),User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),read-only,none,idempotent read,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,FE currently never reads it back; keep for contract completeness.
AuthenticatedApi,setPreferredModel,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,337,workshop-frontend app shell + settings/profile routes (grep-verified >=1 FE site),(id|null) -> void,User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),writes setting,none,idempotent write,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AuthenticatedApi,isOnboardingCompleted,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,340,workshop-frontend OnboardingWizard.tsx,() -> boolean,User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),read-only,none,idempotent read,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AuthenticatedApi,completeOnboarding,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,343,workshop-frontend OnboardingWizard.tsx,() -> void; mark onboarding wizard done,User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),writes flag,none,idempotent write,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AuthenticatedApi,getCloudflareUsage,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,348,"components/billing/{OutOfCreditsModal,AccountSelectionModal,UsageSettings}.tsx","() -> CloudflareUsageInfo (daily free-tier usage, connected CF account balance, needsAccountSelection)",User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),read-only (may call CF billing APIs),none,idempotent read,preserve,none (kernel-native),contract:req-resp,none,needs-review,Cloudflare limits/top-up flow - only meaningful when enabled server-side. Owner decision: in scope for Neuwave?
AuthenticatedApi,listCloudflareAccounts,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,353,components/billing/AccountSelectionModal.tsx,() -> CloudflareAccountOption[]; empty if not connected; used to prompt account choice,User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),read-only (CF API),none,idempotent read,preserve,none (kernel-native),contract:req-resp,none,needs-review,Part of optional CF limits flow.
AuthenticatedApi,selectCloudflareAccount,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,357,components/billing/AccountSelectionModal.tsx,(accountId) -> void; persists billing account choice; throws if inaccessible,User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),writes billing selection,none,idempotent write,preserve,none (kernel-native),contract:req-resp,none,needs-review,Part of optional CF limits flow.
AuthenticatedApi,setAvatar,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,361,workshop-frontend profile route,(compressed JPEG/PNG bytes ideally <50KB | null to remove) -> void,User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),writes avatar blob,none,idempotent write,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AuthenticatedApi,getAvatar,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,365,workshop-frontend app shell + settings/profile routes (grep-verified >=1 FE site),"(userId - any user, for chat display) -> Uint8Array | null",User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),read-only,none,idempotent read,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,Cross-user read by design (avatars are public within deployment).
AuthenticatedApi,openGadget,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,383,"useWorkspaceOpen.ts, GadgetList.tsx, SidebarWorkspaces.tsx, routes/outputs.tsx, BlueprintLandingPage.tsx (12 FE refs)","(id, shareKey?, configureObservers?) -> RpcStub<Overseer>; throws (pipelining-friendly) with code from OPEN_GADGET_ERROR_CODES on missing/denied; shareKey redeemed atomically before open; configureObservers invoked only for non-owner needing account choices",User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),may redeem share key (grants collaborator edge); establishes presence session,may invoke ObserverConfigCallback; returns Overseer capability,share-key redemption not idempotent in effect (edge created once),preserve,none (kernel-native),contract:capability-lifecycle,workspace data migration (ids must resolve),manually-reviewed,TODO(multi-gadget) in source: rename to openWorkspace(). Error codes OPEN_GADGET_ERROR_CODES (api.ts:255) are part of contract.
AuthenticatedApi,newGadget,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,396,workshop-frontend app shell + settings/profile routes (grep-verified >=1 FE site),"() -> RpcStub<Overseer> for new 'Untitled Workspace'; provisional until first activity (hidden from home, auto-deleted if untouched; new*Gatekeeper alone does NOT clear provisional bit)",User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),creates workspace DO (provisional),returns Overseer capability,not idempotent (new workspace per call),preserve,none (kernel-native),contract:capability-lifecycle,none,manually-reviewed,Provisional-gadget lifecycle is load-bearing product behavior - parity-test it. TODO rename newWorkspace().
AuthenticatedApi,listGadgets,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,403,"workshop-frontend home (routes/index.tsx, GadgetList.tsx)",() -> GadgetMetadataWithTimestamps[]; front-page listing; provisional gadgets hidden; no pagination yet (TODO),User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),read-only,none,idempotent read,preserve,none (kernel-native),contract:req-resp,workspace data migration,manually-reviewed,
AuthenticatedApi,listOutputs,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,414,routes/outputs.tsx,"() -> {outputs: OutputSummary[], catchingUp: bool}; user-account-level output index pushed by workspaces; catchingUp=true means call again for more backfill sweep; false = stop asking (not 'complete')",User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),read + bounded backfill sweep side effect,none,each call may sweep a bounded number of legacy workspaces - repeated calls converge,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,Sweep-on-read semantics: preserve exactly; naive reimplementation would spin or miss backfill.
AuthenticatedApi,listOutputFormats,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,420,workshop-frontend app shell + settings/profile routes (grep-verified >=1 FE site),"() -> OutputFormatOffer[]; deployment 'New Document/Slides' menu (admin-promoted blueprints, in order)",User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),read-only,none,idempotent read,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AuthenticatedApi,listGatekeeperVendors,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,423,"9 FE refs: ResourcePicker, GatekeeperModal, connect UI",(filter? {resourceUrl}) -> GatekeeperVendorInfo[]; connectable third-party services; unavailable flag when a bound gatekeeper can't be queried,User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),read-only (fans out to gatekeeper workers),none,idempotent read,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AuthenticatedApi,connectAccount,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,433,"9 FE refs: GatekeeperModal, ResourcePicker, gatekeepers route","(vendorId, resourceUrlPatterns?) -> {url}; open in new tab to run OAuth; completion observed via subscribeConnectedAccounts; patterns limit grant scope",User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),starts OAuth flow (external),completion arrives via ConnectedAccountsSubscriber.add,not idempotent (new flow per call),preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AuthenticatedApi,ensureAccountResources,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,439,workshop-frontend app shell + settings/profile routes (grep-verified >=1 FE site),"(accountId, resourceUrlPatterns) -> {url?}; expand grant if needed; no url = nothing needed; update observable via subscription",User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),may start OAuth expansion flow,updates via ConnectedAccountsSubscriber,idempotent when grant already covers patterns,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AuthenticatedApi,listAddableGatekeepers,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,446,workshop-frontend app shell + settings/profile routes (grep-verified >=1 FE site),() -> GatekeeperVendorInfo[]; ambient (auto-provisioning) gatekeepers in 'optional' mode not yet added; same shape as listGatekeeperVendors,User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),read-only,none,idempotent read,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AuthenticatedApi,provisionAmbientAccount,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,451,workshop-frontend app shell + settings/profile routes (grep-verified >=1 FE site),(vendorId) -> void; opt into ambient gatekeeper - mints connected account with no OAuth; only while mode optional/enabled and no account yet; throws otherwise,User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),creates connected account,appears via ConnectedAccountsSubscriber,NOT idempotent - throws if account exists,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AuthenticatedApi,subscribeConnectedAccounts,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,460,"7 FE refs: ResourcePicker, GatekeeperModal, OnboardingWizard, ObserverConfigModal, ConnectionChips, gatekeepers route","(subscriber, filter? incl. includeForcedAutoProvisionedAccounts) -> RpcStub<{}> subscription handle; may ensure forced auto-provisioned accounts as side effect of filter option",User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),read + (with filter flag) ensures forced ambient accounts,subscription: add/remove/ready on subscriber; DISPOSE handle to cancel,replay-then-ready then incremental; in-order,preserve,none (kernel-native),parity:subscription-replay,none,manually-reviewed,Returned RpcStub<{}> has no methods - disposal IS the API. Parser can't see this; recorded here.
AuthenticatedApi,disconnectAccount,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,465,workshop-frontend app shell + settings/profile routes (grep-verified >=1 FE site),(accountId) -> void; removes account AND revokes token upstream,User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),deletes account + external token revocation,removal via ConnectedAccountsSubscriber,destructive; not retry-distinguishable,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AuthenticatedApi,startResourceConfigurator,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,471,workshop-frontend app shell + settings/profile routes (grep-verified >=1 FE site),"(accountId, resourceUrlPattern) -> ResourceConfiguratorFrame (iframe HTML + capability) for picking a specific resource",User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),read; mints configurator UI capability,frame speaks MessagePort RPC,new frame per call,preserve,none (kernel-native),contract:capability-lifecycle,none,manually-reviewed,
AuthenticatedApi,dismissSharedGadget,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,478,workshop-frontend app shell + settings/profile routes (grep-verified >=1 FE site),(gadgetId) -> void; hides shared gadget from home listing; does NOT revoke access (reopening re-lists it),User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),writes listing state only,none,idempotent write,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AuthenticatedApi,listOwnBlueprints,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,482,workshop-frontend app shell + settings/profile routes (grep-verified >=1 FE site),() -> BlueprintUserSummary[]; blueprints created by user (audit view; source field says if origin workspace still exists),User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),read-only,none,idempotent read,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AuthenticatedApi,getOwnBlueprint,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,485,workshop-frontend app shell + settings/profile routes (grep-verified >=1 FE site),(blueprintId) -> BlueprintUserSummary | null (null if not owned by user),User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),read-only,none,idempotent read,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
AuthenticatedApi,listLibraryBlueprints,cloudflare-os,bf7f762d7fa73553284d731ab6a978d3ea17be24,packages/workshop-shared/src/api.ts,489,workshop-frontend app shell + settings/profile routes (grep-verified >=1 FE site),() -> BlueprintLibrarySummary[]; uploaded archives + saved-by-reference blueprints,User DO (server.ts AuthenticatedApiImpl fronting UserDurableObject),authenticated session capability (minted by authenticate/authenticateFromCfAccess/login token),read-only,none,idempotent read,preserve,none (kernel-native),contract:req-resp,none,manually-reviewed,
